year,city,budget,population,province,autonomous_region
2013,Segovia,61457425.0,54309,Segovia,Castilla y León
2013,Sevilla,894942988.5,700169,Sevilla,Andalucía
2013,Soria,49094000.0,39753,Soria,Castilla y León
2013,Tarragona,164185382.69,133545,Tarragona,Cataluña
2013,Teruel,32786380.29,35961,Teruel,Aragón
2013,Toledo,92411467.99999999,83593,Toledo,Castilla-La Mancha
2013,Valencia,772944773.76,792303,Valencia/València,Comunidad Valenciana
2013,Valladolid,267903174.0,309714,Valladolid,Castilla y León
2013,Zamora,56792788.57,64986,Zamora,Castilla y León
2013,Zaragoza,676671999.0,682004,Zaragoza,Aragón
2014,Albacete,147611248.60999998,172487,Albacete,Castilla-La Mancha
2014,Alicante/Alacant,245585597.87,332067,Alicante/Alacant,Comunidad Valenciana
2014,Almería,181202839.38,193351,Almería,Andalucía
2014,Ávila,54380126.04,58933,Ávila,Castilla y León
2014,Badajoz,103623534.32,150517,Badajoz,Extremadura
2014,Barcelona,2846093189.0600004,1602386,Barcelona,Cataluña
2014,Burgos,201062376.05999997,177776,Burgos,Castilla y León
2014,Cáceres,73063280.82000001,95855,Cáceres,Extremadura
2014,Castellón de la Plana/Castelló de la Plana,165358912.89,173841,Castellón/Castelló,Comunidad Valenciana
2014,Ciudad Real,69546549.0,74960,Ciudad Real,Castilla-La Mancha
2014,Córdoba,334351786.45000005,328041,Córdoba,Andalucía
2014,"Coruña, A",249800500.0,244810,"Coruña, A",Galicia
2014,Cuenca,58124157.0,55738,Cuenca,Castilla-La Mancha
2014,Donostia/San Sebastián,314679404.72,186126,Gipuzkoa,País Vasco
2014,Girona,102420722.49999997,97227,Girona,Cataluña
2014,Granada,269882792.96,237540,Granada,Andalucía
2014,Guadalajara,73604226.0,83720,Guadalajara,Castilla-La Mancha
2014,Huelva,119421270.74000001,147212,Huelva,Andalucía
2014,Huesca,54871166.63,52555,Huesca,Aragón
2014,Jaén,160198129.47,115837,Jaén,Andalucía
2014,León,125787503.69,129551,León,Castilla y León
2014,Lleida,155964104.62,139176,Lleida,Cataluña
2014,Logroño,151585000.0,151962,"Rioja, La",La Rioja
2014,Lugo,83483001.39000002,98560,Lugo,Galicia
2014,Madrid,4699310629.0,3165235,Madrid,Comunidad de Madrid
2014,Málaga,634899618.46,566913,Málaga,Andalucía
2014,Murcia,391403421.0,439712,Murcia,Región de Murcia
2014,Oviedo,207090000.0,223765,Asturias,Principado de Asturias
2014,Palencia,76821870.78,80178,Palencia,Castilla y León
2014,Palma de Mallorca,426798007.43000007,399093,"Balears, Illes",Baleares
2014,"Palmas de Gran Canaria, Las",301410617.90999997,382283,"Palmas, Las",Canarias
2014,Pontevedra,68750336.29,82946,Pontevedra,Galicia
2014,Salamanca,141669574.40000004,148042,Salamanca,Castilla y León
2014,Santa Cruz de Tenerife,253544707.0,205279,Santa Cruz de Tenerife,Canarias
2014,Santander,194284020.0,175736,Cantabria,Cantabria
2014,Segovia,64077523.0,53260,Segovia,Castilla y León
2014,Sevilla,871815643.1299999,696676,Sevilla,Andalucía
2014,Soria,54700000.0,39516,Soria,Castilla y León
2014,Tarragona,165960729.91,132199,Tarragona,Cataluña
2014,Teruel,34510533.15,35675,Teruel,Aragón
2014,Toledo,89927947.0,83334,Toledo,Castilla-La Mancha
2014,Valencia,772644333.41,786424,Valencia/València,Comunidad Valenciana
2014,Valladolid,263732064.0,306830,Valladolid,Castilla y León
2014,Zamora,58667522.12,64423,Zamora,Castilla y León
2014,Zaragoza,692262712.0,666058,Zaragoza,Aragón
2015,Albacete,154377531.72,172487,Albacete,Castilla-La Mancha
2015,Alicante/Alacant,248684157.57000002,332067,Alicante/Alacant,Comunidad Valenciana
2015,Almería,190639585.54999998,193351,Almería,Andalucía
2015,Ávila,55522313.480000004,58933,Ávila,Castilla y León
2015,Badajoz,101623528.32000001,150517,Badajoz,Extremadura
2015,Barcelona,2835295521.91,1602386,Barcelona,Cataluña
2015,Burgos,210538565.0,177776,Burgos,Castilla y León
2015,Cáceres,72956453.18,95855,Cáceres,Extremadura
2015,Cádiz,166447963.81,121739,Cádiz,Andalucía
2015,Castellón de la Plana/Castelló de la Plana,171611198.98999998,173841,Castellón/Castelló,Comunidad Valenciana
2015,Ciudad Real,68761928.0,74960,Ciudad Real,Castilla-La Mancha
2015,Córdoba,323087774.22999996,328041,Córdoba,Andalucía
2015,"Coruña, A",256316999.99999997,244810,"Coruña, A",Galicia
2015,Cuenca,49502578.82,55738,Cuenca,Castilla-La Mancha
2015,Donostia/San Sebastián,297926558.79,186126,Gipuzkoa,País Vasco
2015,Girona,105762424.94,97227,Girona,Cataluña
2015,Granada,266743306.56,237540,Granada,Andalucía
2015,Guadalajara,73101690.0,83720,Guadalajara,Castilla-La Mancha
2015,Huelva,129255493.52,147212,Huelva,Andalucía
2015,Huesca,51303197.32,52555,Huesca,Aragón
2015,Jaén,204984195.49,115837,Jaén,Andalucía
2015,León,132577285.0,129551,León,Castilla y León
2015,Lleida,159499601.85,139176,Lleida,Cataluña
2015,Logroño,155407000.0,151962,"Rioja, La",La Rioja
